model,Best_Parameters,Best_Accuracy
BernoulliNB(),"{'alpha': 0.1, 'binarize': 0.0, 'fit_prior': True, 'force_alpha': True}",0.9675937122128173
CategoricalNB(),"{'alpha': 5.0, 'fit_prior': True, 'force_alpha': True, 'min_categories': 25}",0.9789600967351875
ComplementNB(),"{'alpha': 5.0, 'fit_prior': True, 'force_alpha': True, 'norm': False}",0.966384522370012
GaussianNB(),{'var_smoothing': 1e-09},0.973155985489722
MultinomialNB(),"{'alpha': 10.0, 'fit_prior': True, 'force_alpha': True}",0.9719467956469166
SVC(),"{'C': 1.0, 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': None}",0.9818621523579204
LinearSVC(),"{'C': 0.5, 'dual': True, 'loss': 'squared_hinge', 'max_iter': 10, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 8}",0.9758162031438936
NuSVC(),"{'degree': 1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 1000, 'nu': 0.1, 'random_state': None}",0.9717049576783556
NuSVR(),"{'C': 10.0, 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000, 'nu': 1.0}",0.8417881180097979
OneClassSVM(),error,0.0
SVR(),"{'C': 10.0, 'degree': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10000}",0.8435808053114288
LinearSVR(),"{'C': 0.1, 'dual': 'auto', 'epsilon': 0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 10, 'random_state': None}",0.7966635238601563
LinearSVR(),"{'C': 0.1, 'dual': 'auto', 'epsilon': 0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 10, 'random_state': None}",0.7966635238601563
LinearSVR(),"{'C': 0.1, 'dual': 'auto', 'epsilon': 0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 10, 'random_state': None}",0.7966635238601563
